sound,button,corr,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,sound_2.started,sound_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,back.started,back.stopped,image.started,image.stopped,sound_3.started,sound_3.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,35.9954009,None,space,12.6267632,35.9954009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
,,,,,,,,,,,,,,48.6402568,51.640867,51.6247363,None,53.62472574,None,1,1.4530781,53.6249208,None,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
,,,,,,,,,,,,,,,,,,,,,,,,55.1087231,None,2.00959814,None,0,1.1302076,57.0923785,None,,,,,,,,,,,,,,,,,,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2428994,None,space,1.6546162,58.2428994,None,,,,,,,,,,,,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,R.png,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0028955,None,60.9644854,None,60.96221684,None,1,1,2.5273186,60.0028955,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,R.png,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5741965,None,63.5657081,None,63.56286144,None,0,1,2.0520721,62.5741965,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,L.png,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6626816,None,65.6492789,None,65.64676754,None,1,0,1.9906334,64.6626816,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,L.png,1,1,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7063315,None,67.7000155,None,67.69737034,None,1,1,1.663334,66.7063315,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,R.png,1,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4251311,None,69.4170647,None,69.41437714,None,1,1,1.8983504,68.4251311,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,L.png,1,1,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3608463,None,71.3508552,None,71.34839484,None,1,1,1.7487806,70.3608463,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,R.png,0,1,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1651369,None,73.1514812,None,73.14895224,None,0,1,1.6797958,72.1651369,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,L.png,0,0,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8937518,None,74.885268,None,74.88258664,None,0,1,1.735912,73.8937518,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,R.png,0,1,2,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6761977,None,76.6861524,None,76.68323994,None,0,1,1.895213,75.6761977,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,R.png,1,0,2,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6256212,None,78.619631,None,78.61694694,None,1,1,1.863603,77.6256212,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,L.png,1,1,2,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5322815,None,80.5201229,None,80.51786984,None,1,1,1.9331594,79.5322815,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,L.png,0,0,2,3,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5124064,None,82.5042435,None,82.50168044,None,0,1,1.8178664,81.5124064,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,L.png,1,1,3,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3741509,None,84.3711451,None,84.36840204,None,1,1,1.7725368,83.3741509,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,L.png,0,0,3,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.1998481,None,86.1884607,None,86.18591324,None,0,1,1.7245501,85.1998481,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,R.png,0,1,3,2,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9804644,None,87.9721083,None,87.96953834,None,0,1,1.8211177,86.9804644,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,R.png,1,0,3,3,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8464922,None,89.8394404,None,89.83661564,None,1,1,2.0479919,88.8464922,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,R.png,0,1,4,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9388406,None,91.9396904,None,91.93714204,None,0,1,2.0222679,90.9388406,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
R.wav,L.png,0,0,4,1,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0145045,None,94.0074236,None,94.00462434,None,0,1,1.8207654,93.0145045,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,R.png,1,0,4,2,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8676391,None,95.857697,None,95.85524254,None,1,1,1.8250567,94.8676391,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
L.wav,L.png,1,1,4,3,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7474747,None,97.7412573,None,97.73885834,None,1,1,1.8007803,96.7474747,None,3,1,2021_Apr_22_1734,simon,2021.1.2,59.93579673
